FID,OBJECTID_1,Join_Count,TARGET_FID,CID,objectid,qhdm,qhmc,dkbm,bz,provinceco,citycode,nf,dkmc,zhssjb,sscd,xczp,picbasepat,yfly,sczwmj,sccl,yfmj,szmj,czmj,jcmj,ssmj,cylx,zwdm,zwmc,countycode,zh,gmt_create,rwid,gmt_modify,ydbh,status,zdxlh,uuid,yx_date,cylxdm,towncode,zwlx,cls,lon,lat
0,9,1,9,8,3867.000000000000000,130207106240,李岭坨村,1302071062400002,花生，玉米, 1,1302,2020,00002, , ," [{""desc"":""方向：东北;北纬：39.525662;东经：118.388326;地点：丰南区大新庄镇李岭坨村;时间：2020-08-02 08:54:51"",""name"":""现场照片"",""path"":""mobile/2020/08/02/af22086cc36e4758bbc15829470ba36f/1596329692103_130207106240_XCZP.jp","g{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,5.780000000000000,0.000000000000000,5.780000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 0001, 农作物综合, 13020,7gykjfnq_test, 2020-08-02 08:55:03.195287, 6d34864b55c6479b90aaf6f6c5baa0b,92020-08-02 08:55:03.195287, ,2.000000000000000, 861695037372203, 2F9950E56C0541BEA4FB2F1A3AA1166,12/30/1899 0:00:00,61, 13020710,花生,0.0000000,118.388278421000000,39.526278011999999
1,11,1,11,10,1957.000000000000000,131121106205,北杨庄村,1311211062050002, , 1,1311,2020,00002, , ," [{""desc"":""方向：东南;北纬：37.456476;东经：115.642423;地点：枣强县张秀屯乡北杨庄村;时间：2020-07-23 19:04:30"",""name"":""现场照片"",""path"":""mobile/2020/07/23/f2901032fdfa460cb465dce75c231cf1/1595502271446_131121106205_XCZP.jp","g{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,2.440000000000000,0.000000000000000,2.440000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 04, 棉花, 13112,1gykjzqx_test, 2020-07-23 19:04:59.407991, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-23 19:04:59.407991, ,2.000000000000000, 94a854fba614fd26, 83BEC088007549C2966ACBAEF61B297,12/30/1899 0:00:00,61, 13112110,棉花,0.0000000,115.642442441000000,37.456035777200000
2,12,1,12,11,1958.000000000000000,131121106205,北杨庄村,1311211062050003,高粱, 1,1311,2020,00003, , ," [{""desc"":""方向：东南;北纬：37.456467;东经：115.642664;地点：枣强县张秀屯乡北杨庄村;时间：2020-07-23 19:05:25"",""name"":""现场照片"",""path"":""mobile/2020/07/23/3b5deb57080f4b6987de9839bc577a3e/1595502326749_131121106205_XCZP.jp","g{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,2.040000000000000,0.000000000000000,2.040000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 0001, 农作物综合, 13112,1gykjzqx_test, 2020-07-23 19:05:50.674471, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-23 19:05:50.674471, ,2.000000000000000, 94a854fba614fd26, 6C2FFD2154AE4EFCA69A73F99925BE0,12/30/1899 0:00:00,61, 13112110,高粱,0.0000000,115.642703230000000,37.455617388800000
3,15,1,15,14,2202.000000000000000,131122103204,西赵桥,1311221032040001,枣树林, 1,1311,2020,00001, , ," [{""desc"":""方向：东南;北纬：37.938658;东经：115.941611;地点：武邑县赵桥镇西赵桥;时间：2020-07-24 15:01:55"",""name"":""现场照片"",""path"":""mobile/2020/07/24/7fa0bf433e3d4a488393c9e905ed42ce/1595574116618_131122103204_XCZP.jpg""},{""","d{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,48.119999999999997,0.000000000000000,48.119999999999997,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 0001, 农作物综合, 13112,2gykjwyx_test, 2020-07-24 15:02:07.553682, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-24 15:02:07.553682, ,2.000000000000000, b6ad09359412289e, B77887248D8C40538B9C9E54A2D8C07,12/30/1899 0:00:00,61, 13112210,林地,0.0000000,115.941454916000000,37.938937659099999
4,18,1,18,17,2068.000000000000000,131082100211,陈各庄村,1310821002110001, , 1,1310,2020,00001, , ," [{""desc"":""方向：未知方向;北纬：39.940141;东经：116.347137;地点：西城区月坛街道办事处展览路街道116街坊;时间：2020-07-24 10:05:59"",""name"":""现场照片"",""path"":""mobile/2020/07/24/0fea3cd42cb74577a1ee180ebb94f703/1595556","3{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,25.090000000000000,0.000000000000000,25.090000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 0001, 农作物综合, 13108,2gyshs_test, 2020-07-24 10:06:23.495596, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-24 10:06:23.495596, ,2.000000000000000, 868204022012347, E097937CC99D43FDA90106EE1D4128D,12/30/1899 0:00:00,61, 13108210,无效,0.0000000,117.053708175000000,39.945917822500000
5,20,1,20,19,2236.000000000000000,131122104247,虎赵庄,1311221042470002,杨树林, 1,1311,2020,00002, , ," [{""desc"":""方向：西北;北纬：37.999389;东经：116.032844;地点：武邑县韩庄镇虎赵庄;时间：2020-07-24 15:58:31"",""name"":""现场照片"",""path"":""mobile/2020/07/24/81682e49daea47479e8574096c56d17c/1595577512820_131122104247_XCZP.jpg""},{""","d{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,9.570000000000000,0.000000000000000,9.570000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 0001, 农作物综合, 13112,2gykjwyx_test, 2020-07-24 15:59:34.133978, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-24 15:59:34.133978, ,2.000000000000000, b6ad09359412289e, 858A83A9D50E4F0094B76EBC2799D89,12/30/1899 0:00:00,61, 13112210,林地,0.0000000,116.032560253000000,37.999554439400001
6,21,1,21,20,2244.000000000000000,131122104240,马回台村,1311221042400001,射干, 1,1311,2020,00001, , ," [{""desc"":""方向：东南;北纬：37.982696;东经：116.054651;地点：武邑县韩庄镇马回台村;时间：2020-07-24 16:14:08"",""name"":""现场照片"",""path"":""mobile/2020/07/24/8f87e1a2fc7545b985d5fd296f9e8126/1595578449708_131122104240_XCZP.jpg""}",",{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,2.250000000000000,0.000000000000000,2.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 0001, 农作物综合, 13112,2gykjwyx_test, 2020-07-24 16:18:23.903303, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-24 16:18:23.903303, ,2.000000000000000, b6ad09359412289e, 6C282B8FABA84792B52CC503EE5ED57,12/30/1899 0:00:00,61, 13112210,药材,0.0000000,116.055052376000010,37.982640101500003
7,22,1,22,21,2159.000000000000000,131121105213,梁纸房村,1311211052130001,树下套种花生, 1,1311,2020,00001, , ," [{""desc"":""方向：东南;北纬：37.609785;东经：115.743748;地点：枣强县肖张镇梁纸房村;时间：2020-07-24 13:33:59"",""name"":""现场照片"",""path"":""mobile/2020/07/24/913ebbc133e44cadaf624e1a71bf60bb/1595568841212_131121105213_XCZP.jpg""}",",{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,18.739999999999998,0.000000000000000,18.739999999999998,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 0001, 农作物综合, 13112,1gykjzqx_test, 2020-07-24 13:34:13.542904, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-24 13:34:13.542904, ,2.000000000000000, 94a854fba614fd26, B6EF0553E58943F58CB1F628318E49E,,61, 13112110,花生,0.0000000,115.743913131000000,37.609486753799999
8,25,1,25,24,1471.000000000000000,131121102237,岳家圈村,1311211022370001,右侧花生, 1,1311,2020,00001, , ," [{""desc"":""方向：西北;北纬：37.313932;东经：115.593340;地点：枣强县大营镇岳家圈村;时间：2020-07-23 07:07:11"",""name"":""现场照片"",""path"":""mobile/2020/07/23/0840b219cb7a419783a52698a6b9e3de/1595459232936_131121102237_XCZP.jpg""}",",{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,3.040000000000000,0.000000000000000,3.040000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 04, 棉花, 13112,1gykjzqx_test, 2020-07-23 07:07:38.773506, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-23 07:07:38.773506, ,2.000000000000000, 94a854fba614fd26, 4859F68D2642490D94CB8C97B664477,12/30/1899 0:00:00,61, 13112110,棉花,0.0000000,115.592352758999990,37.314004159699998
9,27,1,27,26,1472.000000000000000,131121102237,岳家圈村,1311211022370002,右侧矮株棉花, 1,1311,2020,00002, , ," [{""desc"":""方向：西北;北纬：37.314114;东经：115.593401;地点：枣强县大营镇岳家圈村;时间：2020-07-23 07:08:42"",""name"":""现场照片"",""path"":""mobile/2020/07/23/e934edfab5a84ec597071208692d0d90/1595459323248_131121102237_XCZP.jpg""}",",{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,3.210000000000000,0.000000000000000,3.210000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 04, 棉花, 13112,1gykjzqx_test, 2020-07-23 07:09:46.595081, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-23 07:09:46.595081, ,2.000000000000000, 94a854fba614fd26, D5847C7AF7F74326B9BE6305148E5DF,,61, 13112110,棉花,0.0000000,115.591196375000000,37.314405394500000
